User = samwise : password = RosieRosie : service = httpd
User = samwise.gamgee : password = Mallorn79 : service = ssh
User = bilbo.baggins : password = Frodo2013 : service = ssh
User = pippin : password = adminPippin : service = httpd
User = peregrin.took : password = 28Peregrin : service = ssh
User = frodo : password = 1BrandyWine : service = httpd
User = frodo.baggins : password = Strider2020 : service = ssh
User = gandalf.grey : password  = gandalfrockyou : service = ssh
User = boromir : password = BoRomir2000Z : service = ssh
User = galadriel : password = galadrielarwen111 : service = ssh
